file_path,file_name,directory,file_size,category,format_type,num_columns,num_rows,sample_data
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\pocket\RSSI.dat,RSSI.dat,Hallway_peoplecrossing\pocket\RSSI.dat,844,radio_measurement_separate,time_value_stddev,3,43,"['-50 -95 0', '-48 -93.4444 0', '-46 -94.8333 0', '-44 -94.4697 0.273028', '-42 -94.2041 0.0314043']"
C:\Users\ayild\Desktop\ACP Files\Hallway_peoplecrossing\pocket\THROUGHPUT.dat,THROUGHPUT.dat,Hallway_peoplecrossing\pocket\THROUGHPUT.dat,770,radio_measurement_separate,time_value_stddev,3,43,"['-50 9415.38 0', '-48 16200 0', '-46 8640 0', '-44 3338.49 1566.77', '-42 3105.61 300.978']"
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\necklace\LQI.dat,LQI.dat,Hallway_turning_corners\necklace\LQI.dat,640,radio_measurement_separate,time_value_stddev,3,41,"['2 0 0', '4 0 0', '6 0 0', '8 0 0', '10 0 0']"
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\necklace\RSSI.dat,RSSI.dat,Hallway_turning_corners\necklace\RSSI.dat,637,radio_measurement_separate,custom,1,41,"['2', '4', '6', '8', '10']"
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\necklace\THROUGHPUT.dat,THROUGHPUT.dat,Hallway_turning_corners\necklace\THROUGHPUT.dat,624,radio_measurement_separate,time_value_stddev,3,41,"['2 0 0', '4 0 0', '6 0 0', '8 0 0', '10 0 0']"
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\pocket\LQI.dat,LQI.dat,Hallway_turning_corners\pocket\LQI.dat,620,radio_measurement_separate,time_value_stddev,3,41,"['2 0 0', '4 0 0', '6 0 0', '8 0 0', '10 0 0']"
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\pocket\RSSI.dat,RSSI.dat,Hallway_turning_corners\pocket\RSSI.dat,607,radio_measurement_separate,custom,1,41,"['2', '4', '6', '8', '10']"
C:\Users\ayild\Desktop\ACP Files\Hallway_turning_corners\pocket\THROUGHPUT.dat,THROUGHPUT.dat,Hallway_turning_corners\pocket\THROUGHPUT.dat,622,radio_measurement_separate,time_value_stddev,3,41,"['2 0 0', '4 0 0', '6 0 0', '8 0 0', '10 0 0']"
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\LOS\LQI.dat,LQI.dat,Hallway_tx_at_the_edge\LOS\LQI.dat,480,radio_measurement_separate,time_value_stddev,3,25,"['2 107.53 0.068772', '4 107.502 0.073776', '6 107.601 0.157334', '8 107.558 0.0801139', '10 107.538 0.125839']"
C:\Users\ayild\Desktop\ACP Files\Hallway_tx_at_the_edge\LOS\RSSI.dat,RSSI.dat,Hallway_tx_at_the_edge\LOS\RSSI.dat,491,radio_measurement_separate,time_value_stddev,3,25,"['2 -53.6313 3.42443', '4 -59.7464 7.8598', '6 -62.3895 7.45841', '8 -57.6999 2.60724', '10 -62.0756 2.00554']"
